Physical Time: Physical Time (s);Particle Mass Flow 1 Monitor: Particle Mass Flow of Mass Flow Rate of Quarzmehl (kg/s);;dt;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,6;0;0;0;;;
4,61;0;0;0,01;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,61;0;0;0;;;
4,62;0;0;0,01;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,62;0;0;0;;;
4,63;0;0;0,01;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,63;0;0;0;;;
4,64;0;0;0,01;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,64;0;0;0;;;
4,65;0;0;0,01;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,65;0;0;0;;;
4,66;0;0;0,01;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,66;0;0;0;;;
4,67;0;0;0,01;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,67;0;0;0;;;
4,68;0;0;0,01;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,68;0;0;0;;;
4,69;0;0;0,01;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,69;0;0;0;;;
4,7;0;0;0,01;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,7;0;0;0;;;
4,71;0;0;0,01;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,71;0;0;0;;;
4,72;0;0;0,01;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,72;0;0;0;;;
4,73;0;0;0,01;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,73;0;0;0;;;
4,74;0;0;0,01;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,74;0;0;0;;;
4,75;0;0;0,01;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,75;0;0;0;;;
4,76;0;0;0,01;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,76;0;0;0;;;
4,77;0;0;0,01;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,77;0;0;0;;;
4,78;0;0;0,01;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,78;0;0;0;;;
4,79;0;0;0,01;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,79;0;0;0;;;
4,8;0;0;0,01;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,8;0;0;0;;;
4,81;0;0;0,01;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,81;0;0;0;;;
4,82;0;0;0,01;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,82;0;0;0;;;
4,83;0;0;0,01;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,83;0;0;0;;;
4,84;0;0;0,01;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,84;0;0;0;;;
4,85;0;0;0,01;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,85;0;0;0;;;
4,86;0;0;0,01;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,86;0;0;0;;;
4,87;0;0;0,01;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,87;0;0;0;;;
4,88;0;0;0,01;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,88;0;0;0;;;
4,89;0;0;0,01;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,89;0;0;0;;;
4,9;0;0;0,01;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,9;0;0;0;;;
4,91;0;0;0,01;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,91;0;0;0;;;
4,92;0;0;0,01;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,92;0;0;0;;;
4,93;0;0;0,01;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,93;0;0;0;;;
4,94;0;0;0,01;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,94;0;0;0;;;
4,95;0;0;0,01;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,95;0;0;0;;;
4,96;0;0;0,01;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,96;0;0;0;;;
4,97;0;0;0,01;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,97;0;0;0;;;
4,98;0;0;0,01;;;
4,98;0;0;0;;;
4,98;0;0;0;;;
4,98;0;0;0;;;
4,979;0;0;-0,001;;;
4,98;0;0;0,001;;;
4,98;0;0;0;;;
4,98;0;0;0;;;
4,98;0;0;0;;;
4,98;0;0;0;;;
4,99;0;0;0,01;;;
4,99;0;0;0;;;
4,99;0;0;0;;;
4,99;0;0;0;;;
4,989;0;0;-0,001;;;
4,99;0;0;0,001;;;
4,99;0;0;0;;;
4,99;0;0;0;;;
4,99;0;0;0;;;
4,99;0;0;0;;;
5;0;0;0,01;;;
5;0;0;0;;;
5;0;0;0;;;
5;0;0;0;;;
4,999;0;0;-0,001;;;
